Position,Position,proper motion,proper motion,,,,
Right Ascension,Declination,Right Ascension (mas/yr),Declination (mas/yr),Distance (pc),Gp,Bp,Rp
53.00664,21.989,61.52793,25.03974,48.67,14.921,16.628,13.67
53.04447,23.48921,44.04354,-24.52424,139.4,15.703,17.107,14.529
53.13114,24.48334,19.31399,30.49883,112.15,9.668,9.942,9.225
53.13743,22.30326,20.76384,-43.59654,138.77,17.068,18.921,15.782
53.17637,23.56656,20.55045,-44.62603,137.82,16.642,18.496,15.344
53.20514,26.24572,9.69569,-7.66072,164.83,15.342,16.897,14.133
53.24728,26.9661,12.1561,-12.49017,180.3,16.193,17.648,15.002
53.25165,25.99584,21.27023,-45.85666,134.24,12.616,13.277,11.838
53.27437,22.13405,22.18274,-45.97538,132.32,11.207,11.62,10.62
53.31001,24.83543,23.40976,-48.14665,125.07,16.935,18.855,15.639
53.31174,26.93322,-20.04893,-20.65142,197.04,17.242,18.853,16.022
53.3164,24.02198,50.54547,12.97856,107.29,14.883,16.286,13.72
53.32421,25.63581,3.04452,-16.02828,193.16,14.784,15.787,13.781
53.37934,22.02811,-53.17442,-66.85985,87.15,10.143,10.596,9.523
53.40848,25.33788,23.29566,-49.93317,123.4,14.886,16.386,13.69
53.455,21.51295,-14.71519,-78.66319,155.82,16.647,18.26,15.423
53.45759,22.93866,20.5996,-44.49543,138.35,17.201,18.974,15.938
53.48512,26.32754,25.76683,-24.34034,167.7,15.467,16.751,14.348
53.52025,24.44374,27.75242,-69.69688,166.33,12.228,12.739,11.562
53.53057,24.34424,21.59098,-45.05787,135.72,9.434,9.692,9.011
53.55618,25.42358,20.97173,-45.5586,136.83,16.929,18.725,15.632
53.61615,23.36848,34.55225,-10.32757,154.11,16.626,18.364,15.371
53.67525,25.91452,-86.53009,19.41898,62.58,13.74,15.23,12.55
53.69352,23.3865,43.25378,-18.17238,152.09,16.305,17.794,15.121
53.69567,26.09387,15.33182,-54.19793,182.94,16.083,16.987,14.822
53.69814,26.37028,20.75893,-45.31068,135.52,16.654,18.357,15.405
53.73983,26.6083,6.02517,4.10531,137.74,8.347,8.483,8.085
53.74721,24.20445,21.45178,-47.10639,130.13,14.545,15.739,13.461
53.79263,22.28585,76.91461,-69.0915,126.05,11.834,12.333,11.177
53.83918,23.95108,-45.56124,-46.35983,171.35,9.952,10.261,9.477
53.84337,26.2459,9.23904,-18.67312,143.15,17.084,18.079,15.659
53.84384,23.22759,67.47136,-55.35744,190.35,15.138,16.296,14.072
53.88206,26.50785,94.36067,-6.30093,99.88,11.297,11.835,10.614
53.88216,22.82338,21.39442,-45.46662,132.75,9.734,10.004,9.303
53.88367,25.56869,18.06839,-37.41318,162.67,10.523,10.842,10.038
53.90343,24.41803,3.50381,-17.81446,155.5,16.739,18.433,15.492
53.92337,21.71127,-1.97881,-14.36449,198.12,15.977,17.333,14.828
53.93454,22.45259,21.26585,-43.37203,139.81,15.706,17.191,14.519
53.93636,26.24654,-24.64387,-12.19338,196.77,16.512,17.788,15.401
53.95706,25.0799,21.31899,-43.71252,137.61,15.321,16.682,14.17
53.98363,25.36636,22.3377,-45.52738,135.88,15.154,16.508,14.006
53.99762,24.75487,54.34477,-19.66119,198.92,16.531,18.099,15.324
54.03289,24.5397,60.23654,-53.25479,186.12,11.789,12.216,11.196
54.0668,25.25559,27.43636,-56.63381,183.83,16.291,17.761,15.098
54.08113,22.84598,-6.00202,-18.75015,166.15,16.62,17.917,14.897
54.09738,23.5612,-21.48686,-25.85202,199.88,15.378,16.591,14.296
54.11411,24.68796,21.94441,-46.72746,132.04,15.973,17.619,14.741
54.11778,22.52528,3.75493,-62.28391,111.29,11.731,12.26,11.04
54.15008,22.97703,2.71082,6.3744,174.9,17.2,18.836,15.974
54.16921,21.91321,12.68284,-35.09581,180.75,14.011,14.878,13.093
54.1776,25.39343,-5.75304,30.66495,191.17,16.208,17.368,15.14
54.17857,21.33992,33.77871,-54.59688,100.89,16.412,18.268,15.128
54.19687,23.12501,37.28613,-18.22866,186.14,10.442,10.745,9.973
54.24369,26.52277,27.71511,-30.1678,198.09,10.325,10.615,9.867
54.30139,21.46795,21.39558,-45.15542,135.05,12.039,12.565,11.357
54.31764,22.80224,52.89826,-55.84803,138.85,16.546,18.095,15.343
54.32444,25.06245,23.31801,-57.52676,149.8,15.587,16.901,14.459
54.34278,24.90433,20.0119,-43.7509,139.78,16.785,18.504,15.534
54.35069,25.72212,21.76066,-46.73333,132.98,14.538,15.721,13.461
54.36004,24.56685,21.86722,-47.38561,130.13,16.483,18.184,15.224
54.40013,26.54668,20.96695,-45.68616,135.4,14.187,15.28,13.143
54.41771,24.71597,28.10142,-46.27237,120.8,15.949,17.577,14.702
54.44422,21.85225,43.21732,-21.50942,171.07,16.179,17.625,15.007
54.45778,23.66222,22.85928,-9.24058,155.35,11.909,12.351,11.303
54.46256,22.7014,25.75443,-31.48382,148.87,16.066,17.73,14.815
54.47717,26.41118,5.1769,-11.93724,197.6,16.81,18.26,15.633
54.48208,21.96424,-18.29349,-50.29601,164.77,14.804,15.96,13.735
54.4838,21.70915,7.48445,-20.78363,119.32,9.155,9.396,8.754
54.50859,24.33739,20.70237,-43.68569,138.73,16.18,17.808,14.933
54.51025,23.90966,21.55407,-44.7091,133.14,16.495,18.145,15.261
54.53675,21.24679,20.7912,-45.26782,133.65,14.159,15.206,13.136
54.57632,25.12371,69.42953,-38.32067,196.71,16.946,18.47,15.751
54.59418,22.49948,21.46851,-44.80755,135.35,9.941,10.231,9.487
54.63896,25.80131,-30.24178,-18.79135,71.88,14.27,15.446,13.194
54.64379,23.67271,20.45501,-45.04123,138.34,17.138,18.925,15.847
54.64716,26.57984,8.03894,3.58033,75.67,14.249,15.63,13.095
54.66361,23.96267,56.98884,-17.55715,131.55,16.727,18.466,15.472
54.66977,22.65941,20.15722,-45.3594,135.62,6.702,6.689,6.689
54.7032,22.57664,59.18444,-13.46941,125.91,16.487,17.758,15.138
54.72053,25.23625,22.10661,-47.3341,128.59,13.498,14.366,12.58
54.72241,25.49705,67.73116,-54.62585,145.54,16.865,18.444,15.667
54.73704,24.56962,20.16138,-43.46365,139.66,10.379,10.706,9.886
54.76464,21.42208,21.51013,-45.62664,133.34,16.8,18.659,15.518
54.81764,26.42449,21.73933,-18.45363,192.24,16.178,17.662,14.986
54.82081,25.55939,24.37985,-5.48601,151.7,10.454,10.784,9.952
54.83817,21.81909,29.64915,-29.74135,135.98,14.8,16.077,13.681
54.84346,26.19322,20.814,-46.97753,136.99,16.576,18.258,15.334
54.86597,23.8948,21.16475,-45.3476,135.34,11.305,11.758,10.692
54.88473,24.26686,19.77356,-45.54958,139.23,16.123,17.788,14.883
54.90122,26.5066,82.66407,1.51322,49.83,16.098,17.974,14.804
54.91602,25.48482,-2.23592,-41.96751,178.36,16.749,18.269,15.549
54.91858,23.45215,49.75657,-17.97264,141.3,16.481,18.142,15.239
54.93671,22.6541,20.7514,-46.50481,131.5,16.781,18.581,15.498
54.93716,24.72862,-11.70431,-0.89752,193.5,11.152,11.483,10.651
54.95722,23.05715,21.08795,-44.74821,135.54,16.829,18.634,15.547
54.97867,23.92272,-25.84691,-3.64541,147.77,17.096,18.88,15.821
55.00763,22.98878,20.59809,-67.28394,113.39,14.183,15.291,13.139
55.02926,22.64639,20.84668,-45.53023,135.11,17.148,18.993,15.852
55.0622,25.32173,21.09334,-46.22701,134.6,15.025,16.341,13.893
55.10089,24.58431,20.81555,-44.23702,137.04,15.177,16.504,14.043
55.11241,24.23714,20.5051,-45.80671,134.26,16.484,18.233,15.229
55.12993,25.1479,20.72651,-45.33856,138.69,15.709,17.479,14.431
55.13135,23.55045,22.03511,-46.28424,133.54,14.41,15.532,13.354
55.15769,23.39899,26.81319,-61.31982,184.33,16.622,18.163,15.418
55.16581,21.54752,27.29257,11.17029,166.87,17.216,18.309,15.284
55.16808,25.84659,20.86565,-45.70746,137.81,16.019,17.624,14.792
